type,time,reclat,reclon,altitude (ft),eos,name,desc
T,10/12/2020 19:07,42.89944951,-78.87303008,647.9,1,recovery-14-Oct-2020-1400,
T,10/12/2020 19:08,42.89955407,-78.87309806,642.7,1,,
T,10/13/2020 21:15,42.95025952,-78.82357895,676,1,,
T,10/15/2020 4:18,42.89931454,-78.87341119,643.5,1,,
T,10/16/2020 12:58,42.95355638,-78.81947823,692,1,,
T,10/18/2020 21:52,42.89944599,-78.87320685,655,1,,
T,10/19/2020 12:20,42.89939937,-78.87320516,643.8,1,,
T,10/20/2020 12:31,42.89885756,-78.87397878,632.8,1,,
T,10/12/2020 19:07,42.89948203,-78.87304324,647.9,1,,
T,10/12/2020 19:08,42.89953006,-78.87309915,639,1,,
T,10/13/2020 21:15,42.9502671,-78.82343377,680.4,1,,
T,10/15/2020 4:18,42.89935862,-78.87327968,643.4,1,,
T,10/16/2020 12:58,42.95356516,-78.8194489,691.9,1,,
T,10/12/2020 19:07,42.8995073,-78.87305087,648.1,1,,
T,10/12/2020 19:09,42.89950768,-78.87312815,634.4,1,,
T,10/13/2020 21:15,42.95028378,-78.82350443,679.9,1,,
T,10/15/2020 4:18,42.8993299,-78.87329983,642.8,1,,
T,10/16/2020 12:58,42.95354862,-78.81942579,691.9,1,,
T,10/12/2020 19:07,42.89950152,-78.87302765,650.3,1,,
T,10/12/2020 19:09,42.89950106,-78.87310149,640.9,1,,
T,10/13/2020 21:15,42.95026212,-78.82343377,680.7,1,,
T,10/15/2020 4:18,42.89934861,-78.87334085,643,1,,
T,10/16/2020 12:58,42.95353866,-78.8194473,691.9,1,,
T,10/12/2020 19:07,42.89950022,-78.87302044,650.6,1,,
T,10/12/2020 19:09,42.89946891,-78.87310627,641.6,1,,
T,10/13/2020 21:15,42.95028349,-78.82335649,680.7,1,,
T,10/15/2020 4:18,42.89940722,-78.87304676,648,1,,
T,10/16/2020 12:58,42.95356614,-78.81944481,691.9,1,,
T,10/12/2020 19:08,42.89952516,-78.87302966,649.4,1,,
T,10/12/2020 19:11,42.89944519,-78.87309227,638.2,1,,
T,10/13/2020 21:15,42.95026807,-78.82330243,680.6,1,,
T,10/15/2020 4:18,42.89941812,-78.87307107,647.9,1,,
T,10/16/2020 12:58,42.95353588,-78.81945564,691.9,1,,
T,10/12/2020 19:08,42.89954326,-78.87301901,650.8,1,,
T,10/12/2020 19:11,42.89944574,-78.87312312,641.1,1,,
T,10/13/2020 21:15,42.9502557,-78.82326613,681.2,1,,
T,10/15/2020 4:18,42.89944528,-78.87311247,648,1,,
T,10/16/2020 12:58,42.95354942,-78.81947594,691.9,1,,
T,10/12/2020 19:08,42.89956086,-78.87301189,651.3,1,,
T,10/12/2020 19:11,42.89947185,-78.87312521,636.3,1,,
T,10/13/2020 21:15,42.95025893,-78.82323093,682.3,1,,
T,10/15/2020 4:18,42.89946567,-78.87313694,648.3,1,,
T,10/16/2020 12:59,42.95357363,-78.8194481,691.9,1,,
T,10/12/2020 19:08,42.89957926,-78.87302119,650.2,1,,
T,10/12/2020 19:11,42.8994848,-78.87317366,636.9,1,,
T,10/13/2020 21:15,42.95027938,-78.82320461,683.4,1,,
T,10/15/2020 4:18,42.89946854,-78.87316746,648.2,1,,
T,10/16/2020 12:59,42.95354984,-78.81941636,691.9,1,,
T,10/12/2020 19:08,42.89959695,-78.8730336,644.5,1,,
T,10/12/2020 19:11,42.89948346,-78.87320518,630.5,1,,
T,10/13/2020 21:15,42.95030101,-78.82318382,685.4,1,,
T,10/15/2020 4:18,42.89946175,-78.8731605,648.3,1,,
T,10/16/2020 12:59,42.95356188,-78.81945577,691.9,1,,
T,10/12/2020 19:08,42.89961887,-78.87302731,642.4,1,,
T,10/12/2020 19:12,42.89949695,-78.87318011,636,1,,
T,10/13/2020 21:15,42.9503197,-78.82317561,685.1,1,,
T,10/15/2020 4:19,42.89946175,-78.8731605,648,1,,
T,10/16/2020 12:59,42.95354322,-78.8194977,691.9,1,,
T,10/12/2020 19:12,42.89950994,-78.87316243,639.5,1,,
T,10/13/2020 21:15,42.95035759,-78.82316882,686,1,,
T,10/15/2020 4:19,42.89946175,-78.8731605,647.5,1,,
T,10/16/2020 12:59,42.9535664,-78.81945038,691.9,1,,
T,10/12/2020 19:12,42.89953031,-78.87316159,632.9,1,,
T,10/13/2020 21:15,42.95037661,-78.82318022,689.5,1,,
T,10/15/2020 4:41,42.89942801,-78.87320132,649.1,1,,
T,10/16/2020 13:00,42.95355032,-78.819434,691.9,1,,
T,10/12/2020 19:12,42.89952671,-78.8731885,634.1,1,,
T,10/13/2020 21:15,42.95035495,-78.82317913,687.1,1,,
T,10/15/2020 4:52,42.89941183,-78.87341481,648.1,1,,
